beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,4.0,C#4,start,61,0.0,
4.0,4.0,C#4,continue,61,2.4,
8.0,1.0,C#4,stop,61,4.8,
9.0,0.5,F#4,no,66,5.4,
9.5,0.5,D4,no,62,5.7,
10.0,0.5,B3,no,59,6.0,
10.5,0.5,A3,no,57,6.3,
11.0,0.5,G#3,no,56,6.6000000000000005,
11.5,0.5,A3,no,57,6.9,
12.0,2.0,G#3,no,56,7.2,
14.0,0.5,F#3,no,54,8.4,
14.5,1.5,E3,no,52,8.700000000000001,
16.0,4.0,E4,no,64,9.6,
20.0,0.5,E4,no,64,12.0,
20.5,0.5,C#4,no,61,12.3,
21.0,0.5,G3,no,55,12.6,
21.5,0.5,F#3,no,54,12.9,
22.0,0.5,B3,no,59,13.200000000000001,
22.5,0.5,A#3,no,58,13.5,
23.0,0.5,E4,no,64,13.8,
23.5,0.5,D4,no,62,14.1,
24.0,4.0,D4,no,62,14.4,
28.0,0.5,D4,no,62,16.8,
28.5,0.5,B3,no,59,17.1,
29.0,0.5,F#3,no,54,17.400000000000002,
29.5,0.5,E3,no,52,17.7,
30.0,0.5,A3,no,57,18.0,
30.5,0.5,G#3,no,56,18.3,
31.0,0.5,D4,no,62,18.6,
31.5,0.5,C#4,no,61,18.900000000000002,
32.0,3.0,C#4,no,61,19.2,
35.0,0.5,D#4,no,63,21.0,
35.5,0.5,E4,no,64,21.3,
36.0,1.0,A3,no,57,21.6,
37.0,0.25,A3,no,57,22.2,
37.25,0.25,B3,no,59,22.35,
37.5,0.5,C#4,no,61,22.5,
38.0,0.5,C#4,no,61,22.8,
38.5,0.5,B3,no,59,23.1,
39.0,0.5,B3,no,59,23.400000000000002,
39.5,0.5,A3,no,57,23.7,
40.0,0.5,G#3,no,56,24.0,
40.5,0.5,F#3,no,54,24.3,
41.0,0.25,F#3,no,54,24.6,
41.25,0.25,G#3,no,56,24.75,
41.5,0.5,A3,no,57,24.900000000000002,
42.0,1.0,A3,no,57,25.2,
43.0,0.5,G#3,no,56,25.8,
43.5,0.5,F#3,no,54,26.1,
44.0,4.0,E3,no,52,26.400000000000002,
48.0,2.0,G#3,no,56,28.8,
50.0,0.5,G#3,no,56,30.0,
50.5,0.25,A3,no,57,30.3,
50.75,0.25,G#3,no,56,30.45,
51.0,0.25,F#3,no,54,30.6,
51.25,0.25,G#3,no,56,30.75,
51.5,0.5,E3,no,52,30.900000000000002,
52.0,3.0,E4,no,64,31.2,
55.0,1.0,G3,no,55,33.0,
56.0,1.0,F#3,no,54,33.6,
57.0,1.0,F#4,no,66,34.2,
58.0,0.5,F#4,no,66,34.800000000000004,
58.5,0.5,E4,no,64,35.1,
59.0,0.5,D4,no,62,35.4,
59.5,0.5,C#4,no,61,35.7,
60.0,2.0,D4,no,62,36.0,
62.0,0.25,D4,no,62,37.2,
62.25,0.25,C#4,no,61,37.35,
62.5,0.25,B3,no,59,37.5,
62.75,0.25,A3,no,57,37.65,
63.0,0.5,G#3,no,56,37.800000000000004,
63.5,0.5,F#3,no,54,38.1,
64.0,0.5,E#3,no,53,38.4,
64.5,0.5,F#3,no,54,38.7,
65.0,1.0,G#3,no,56,39.0,
66.0,0.5,G#3,no,56,39.6,
66.5,0.5,A3,no,57,39.9,
67.0,1.0,B3,no,59,40.2,
68.0,0.5,B3,no,59,40.800000000000004,
68.5,0.5,C#4,no,61,41.1,
69.0,2.0,D4,no,62,41.4,
71.0,1.0,C#4,no,61,42.6,
72.0,0.5,B3,no,59,43.2,
72.5,0.5,A3,no,57,43.5,
73.0,0.5,G#3,no,56,43.800000000000004,
73.5,0.5,F#3,no,54,44.1,
74.0,0.5,G#3,no,56,44.4,
74.5,0.25,A3,no,57,44.7,
74.75,0.25,B3,no,59,44.85,
75.0,1.0,A3,no,57,45.0,
76.0,4.0,F#3,no,54,45.6,
80.0,2.0,A3,no,57,48.0,
82.0,0.5,A3,no,57,49.2,
82.5,0.5,C#4,no,61,49.5,
83.0,0.5,B3,no,59,49.800000000000004,
83.5,0.5,A3,no,57,50.1,
84.0,3.0,F#4,no,66,50.4,
87.0,0.5,E4,no,64,52.2,
87.5,0.5,D#4,no,63,52.5,
88.0,0.25,C#4,no,61,52.800000000000004,
88.25,0.25,B3,no,59,52.95,
88.5,0.5,E4,no,64,53.1,
89.0,1.0,E3,no,52,53.4,
90.0,1.5,F#3,no,54,54.0,
91.5,0.25,G#3,no,56,54.9,
91.75,0.25,A3,no,57,55.050000000000004,
92.0,1.5,G#3,no,56,55.2,
93.5,0.5,F#3,no,54,56.1,
94.0,2.0,E3,no,52,56.4,
96.0,3.0,A3,no,57,57.6,
99.0,0.5,C#4,no,61,59.4,
99.5,0.5,B3,no,59,59.7,
100.0,3.0,B3,no,59,60.0,
103.0,0.5,D4,no,62,61.800000000000004,
103.5,0.5,C#4,no,61,62.1,
104.0,3.0,C#4,no,61,62.4,
107.0,0.5,E4,no,64,64.2,
107.5,0.5,D4,no,62,64.5,
108.0,4.0,D4,no,62,64.8,
112.0,2.0,E3,no,52,67.2,
114.0,0.5,E3,no,52,68.4,
114.5,0.5,G#3,no,56,68.7,
115.0,0.5,B3,no,59,69.0,
115.5,0.5,D4,no,62,69.3,
116.0,0.5,D4,no,62,69.60000000000001,
116.5,0.5,B3,no,59,69.9,
117.0,2.0,C#4,no,61,70.2,
119.0,0.5,C#4,no,61,71.4,
119.5,0.25,D4,no,62,71.7,
119.75,0.25,E4,no,64,71.85000000000001,
120.0,2.0,A3,no,57,72.0,
122.0,0.5,A3,no,57,73.2,
122.5,0.5,C#4,no,61,73.5,
123.0,0.5,E4,no,64,73.8,
123.5,0.5,G4,no,67,74.10000000000001,
124.0,3.0,F#4,no,66,74.4,
127.0,1.0,A3,no,57,76.2,
128.0,0.5,G#3,no,56,76.8,
128.5,0.5,B3,no,59,77.10000000000001,
129.0,2.0,D4,no,62,77.4,
131.0,1.0,F#3,no,54,78.60000000000001,
132.0,1.0,E3,no,52,79.2,
133.0,0.5,B3,no,59,79.8,
133.5,0.25,C#4,no,61,80.10000000000001,
133.75,0.25,D4,no,62,80.25,
134.0,0.5,D4,no,62,80.4,
134.5,1.0,C#4,no,61,80.7,
135.5,0.5,B3,no,59,81.3,
136.0,0.25,A3,no,57,81.60000000000001,
136.25,0.25,G#3,no,56,81.75,
136.5,1.0,F#3,no,54,81.9,
137.5,0.5,G#3,no,56,82.5,
138.0,1.0,A3,no,57,82.8,
139.0,0.5,G#3,no,56,83.4,
139.5,0.5,A3,no,57,83.7,
140.0,4.0,A3,no,57,84.0,
